Date,Time,Booking ID,Booking Status,Customer ID,Vehicle Type,Pickup Location,Drop Location,Avg VTAT,Avg CTAT,Canceled Rides by Customer,Reason for canceling by Customer,Canceled Rides by Driver,Reason for canceling by Driver,Incomplete Rides,Incomplete Rides Reason,Booking Value,Ride Distance,Driver Ratings,Customer Rating
2025-01-07,18:49,CNR896634843,Canceled by Driver,CUST958713,Prime Plus,Pipliyahana,South Tukoganj,,,False,,True,Customer was coughing/sick,False,,158,11.66,,
2025-01-19,23:32,CNR166043013,Success,CUST192957,Auto,Scheme No. 78,Scheme No. 54,14.0,10.0,False,,False,,False,,1003,14.34,4.9,5.0
2025-01-01,20:21,CNR773329524,Success,CUST508059,Bike,Super Corridor,Mhow Naka,9.0,7.0,False,,False,,False,,998,2.28,3.6,4.1
2025-01-24,19:25,CNR747808727,Success,CUST322980,Bike,Chhoti Gwaltoli,Banganga,7.0,19.0,False,,False,,False,,198,5.74,4.8,3.7
2025-01-27,15:31,CNR623347007,Success,CUST966786,Bike,Chhoti Gwaltoli,Aerodrome Road,7.0,5.0,False,,False,,False,,208,18.28,4.5,3.4
2025-01-03,21:28,CNR841268762,Canceled by Driver,CUST936702,Bike,Geeta Bhawan,Rajendra Nagar,,,False,,True,Customer was coughing/sick,False,,132,5.97,,
2025-01-02,08:34,CNR363590615,Success,CUST234703,Mini,MR 3,MR 10,14.0,13.0,False,,False,,False,,839,15.76,3.7,3.3
2025-01-06,22:53,CNR308334052,Success,CUST734843,Prime Sedan,Scheme No. 73,Malharganj,16.0,10.0,False,,False,,False,,575,5.27,4.5,3.1
2025-01-30,22:57,CNR306874734,Success,CUST325661,Prime Sedan,Silicon City,Vijay Nagar,8.0,20.0,False,,False,,False,,481,7.42,3.9,3.4
2025-01-22,04:43,CNR441238127,Canceled by Driver,CUST379386,Auto,Saket Nagar,Rajendra Nagar,,,False,,True,Customer related issue,False,,350,19.36,,
2025-01-24,23:01,CNR797194996,Success,CUST684032,Prime Sedan,Saket Nagar,Malharganj,14.0,13.0,False,,False,,False,,882,7.95,4.9,4.6
2025-01-11,01:22,CNR361250233,Success,CUST215001,Prime SUV,Chhoti Gwaltoli,Ring Road,6.0,20.0,False,,False,,False,,724,9.94,4.6,4.8
2025-01-16,09:28,CNR539824929,Success,CUST952254,Prime Plus,RNT Marg,Scheme No. 114,19.0,5.0,False,,False,,False,,882,13.47,3.7,3.2
2025-01-03,19:28,CNR966869752,Incomplete,CUST572615,Prime Plus,Mhow Naka,Sudama Nagar,,,False,,False,,True,Customer Demand,312,10.05,,
2025-01-22,04:45,CNR358824718,Canceled by Driver,CUST945397,Prime Sedan,Scheme No. 140,Scheme No. 94,,,False,,True,Customer related issue,False,,373,4.61,,
2025-01-16,13:23,CNR951523514,Incomplete,CUST841585,Auto,Vijay Nagar,Mhow Naka,,,False,,False,,True,Vehicle Breakdown,665,16.98,,
2025-01-08,06:50,CNR829918804,Success,CUST784836,Prime SUV,Bhanwarkuan,Silicon City,20.0,7.0,False,,False,,False,,464,8.42,4.2,3.6
2025-01-22,13:01,CNR190195725,Success,CUST851756,Prime SUV,MR 10,Scheme No. 140,8.0,19.0,False,,False,,False,,345,19.2,4.1,4.0
2025-01-17,00:51,CNR782212433,Success,CUST478420,eBike,Saket Nagar,Bada Gwaltoli,14.0,16.0,False,,False,,False,,356,6.11,3.7,3.9
2025-01-31,12:15,CNR374615670,Incomplete,CUST607905,Auto,Geeta Bhawan,Bhanwarkuan,,,False,,False,,True,Other Issue,933,7.31,,
2025-01-02,01:06,CNR764230807,Canceled by Driver,CUST185845,Auto,Nanda Nagar,Scheme No. 74,,,False,,True,More than permitted people in there,False,,467,10.79,,
2025-01-26,19:34,CNR762529166,Canceled by Driver,CUST331500,Prime Plus,Super Corridor,Scheme No. 78,,,False,,True,More than permitted people in there,False,,1425,4.08,,
2025-01-18,16:41,CNR572601811,Success,CUST660737,eBike,MR 3,Palasia,10.0,13.0,False,,False,,False,,1344,7.16,4.1,4.2
2025-01-16,10:56,CNR238869121,Success,CUST125830,Prime Plus,Palasia,MR 9,9.0,15.0,False,,False,,False,,553,14.62,3.8,4.9
2025-01-13,14:01,CNR195598441,Success,CUST977959,Bike,Khajrana,Super Corridor,8.0,16.0,False,,False,,False,,424,3.84,3.3,5.0
2025-01-16,10:08,CNR430360615,Success,CUST705824,Auto,Nanda Nagar,Aerodrome Road,13.0,14.0,False,,False,,False,,350,3.43,3.0,4.3
2025-01-20,20:16,CNR530070098,Success,CUST825991,Prime Plus,Hira Nagar,Patel Nagar,12.0,7.0,False,,False,,False,,599,2.06,4.1,4.9
2025-01-12,09:59,CNR149988294,Success,CUST934207,Mini,MG Road,Navlakha,6.0,7.0,False,,False,,False,,333,17.44,3.7,4.7
2025-01-05,23:38,CNR390781739,Success,CUST882380,Prime Sedan,MR 3,Vijay Nagar,20.0,15.0,False,,False,,False,,741,18.34,4.3,4.6
2025-01-21,13:01,CNR720719164,Incomplete,CUST289854,Prime Sedan,Scheme No. 94,Rajendra Nagar,,,False,,False,,True,Other Issue,1255,14.44,,
2025-01-02,08:01,CNR286448705,Success,CUST935913,Mini,Super Corridor,MG Road,6.0,14.0,False,,False,,False,,291,10.17,3.8,3.5
2025-01-20,00:26,CNR231169524,Incomplete,CUST867196,Mini,Bada Gwaltoli,Scheme No. 71,,,False,,False,,True,Customer Demand,180,15.22,,
2025-01-24,02:42,CNR669121662,Canceled by Customer,CUST778156,Mini,Silicon City,Saket Nagar,,,True,Driver asked to cancel,False,,False,,273,2.33,,
